reference,0,1,2,3,4
"Schoenauer, Norbert (2000). 6,000 Years of Housing (rev. ed.) (New York: W.W. Norton & Company).",,,,,
"""housing papers"" (PDF). clerk.house.gov. Archived from the original (PDF) on January 17, 2013. Retrieved December 18, 2012.",https://web.archive.org/web/20130117014041/http://clerk.house.gov/member_info/TTD-113.pdf,http://clerk.house.gov/member_info/TTD-113.pdf,,,
"""Online Etymology Dictionary"". Etymonline.com. Retrieved January 4, 2012.",http://www.etymonline.com/index.php?term=house,,,,
"Sacks, David (2004). Letter perfect: the marvelous history of our alphabet from A to Z. Random House Digital. pp. 65–66. ISBN 0-7679-1173-3.",https://books.google.com/books?id=G8bKgl-BTTkC&pg=PT66,/wiki/ISBN_(identifier),/wiki/Special:BookSources/0-7679-1173-3,,
"Grima, Noel (July 24, 2017).  ""The Book That Came Back from Death."" Independent.com.mt.  Retrieved April 29, 2020.",http://www.independent.com.mt/articles/2017-07-24/newspaper-lifestyleculture/The-book-that-came-back-from-death-6736176974,,,,
http://melitensiawth.nl/index/Journal%20of%20Maltese%20Studies/JMS.16.1986/02s.pdf [dead link],http://melitensiawth.nl/index/Journal%20of%20Maltese%20Studies/JMS.16.1986/02s.pdf,/wiki/Wikipedia:Link_rot,,,
"Iyyer, Chaitanya (2009). Land Management: Challenges and Strategies (First ed.). Global India Publications Pvt Ltd. ISBN 978-9380228488.",/wiki/ISBN_(identifier),/wiki/Special:BookSources/978-9380228488,,,
"Curtis, John (1982). Fifty years of Mesopotamian discovery : the work of the British School of Archaeology in Iraq, 1932-1982. London: British School of Archaeology in Iraq. ISBN 0-903472-05-8. OCLC 10923961.",https://www.worldcat.org/oclc/10923961,/wiki/ISBN_(identifier),/wiki/Special:BookSources/0-903472-05-8,/wiki/OCLC_(identifier),https://www.worldcat.org/oclc/10923961
"Hill, Jonathan, ""Immaterial Architecture"", New York: Routledge, 2006.",/wiki/Jonathan_Hill_(architect),/wiki/Routledge,,,
"Tabor, Philip, ""Striking Home: The Telematic Assault on Identity"". Published in Jonathan Hill, editor, Occupying Architecture: Between the Architect and the User.",/wiki/Jonathan_Hill_(architect),,,,
"""Manor House"". Middle-ages.org.uk. May 16, 2007. Archived from the original on September 6, 2012. Retrieved January 4, 2012.",https://archive.today/20120906163033/http://www.middle-ages.org.uk/manor-house.htm,http://www.middle-ages.org.uk/manor-house.htm,,,
"Evans, Robin ""Translations from Drawing to Building: Figures, Doors and Passages"" London: Architectural Associations Publications 2005",,,,,
"Summerson, John ""The Book Of Architecture of John Thorpe in Sir John Soane's museum: 40th Volume of the Walpole Society"" England: The Society 1964",,,,,
"Pratt, Sir Roger ""Sir R. Pratt on Architecture"" 1928",,,,,
"Rybczynski, Witold (1987). Home: A Short History of An Idea. London: Penguin. p. 56. ISBN 0-14-010231-0.",/wiki/Witold_Rybczynski,https://archive.org/details/homeshorthistory00rybc_006,https://archive.org/details/homeshorthistory00rybc_006/page/n55,/wiki/ISBN_(identifier),/wiki/Special:BookSources/0-14-010231-0
"""Doctor's and Dentist's Offices"". Melnick Medical Museum. January 29, 2009. Retrieved June 12, 2018.",https://melnickmedicalmuseum.com/exhibits/doctors-and-dentists-offices/,,,,
"""Doctor's residence and surgery, No 8 Milford Ave, Randwick, New South Wales, photograph taken by Sam Hood for LJ Hooker"", State Library of New South Wales, Home and Away 11690, FL1472550, 1951. Retrieved 14 November 2018.",https://search.sl.nsw.gov.au/primo-explore/fulldisplay?docid=ADLIB110007768&context=L&vid=SLNSW&search_scope=E&tab=default_tab&lang=en_US,/wiki/State_Library_of_New_South_Wales,,,
"Brown, Andy (2009). ""Below the poverty line: living on a garbage dump"". Real Lives. UNICEF. Archived from the original on January 7, 2019. Retrieved July 12, 2013. Slum houses, often made of materials scavenged from the dump site...",https://web.archive.org/web/20190107232521/https://www.unicef.org/philippines/reallives_12171.html,http://www.unicef.org/philippines/reallives_12171.html,,,
"Nossiter, Adam (May 2, 2009). ""In Senegal, Building on Perilous Layers of Trash"". The New York Times.",https://www.nytimes.com/2009/05/03/world/africa/03garbage.html,,,,
"""Energy Performance Certificates – what they are : Directgov – Home and community"". Direct.gov.uk. Retrieved January 4, 2012.",http://www.direct.gov.uk/en/HomeAndCommunity/BuyingAndSellingYourHome/Energyperformancecertificates/DG_177026,,,,
